months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_year,fraud_reported,vehicle_age,total_damage,severe_accident,age_group,claim_range
241,38,IN,100/300,2000,1003.23,0,FEMALE,Associate,tech-support,kayaking,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Arlington,4955 Lincoln Ridge,23,3,0,0,3,1,77880,12980,12980,51920,2008,0,16,77880,1,31-40,60k-80k
245,41,IN,500/1000,2000,1212.0,0,MALE,Masters,exec-managerial,basketball,unmarried,24400,-60500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Springfield,7705 Best Ridge,4,1,1,0,1,1,73500,7350,14700,51450,1999,0,25,73500,1,41-50,60k-80k
371,52,IL,250/500,1000,1242.96,7000000,FEMALE,High School,other-service,paintball,own-child,0,-37100,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Riverwood,5838 Pine Lane,2,2,1,2,0,0,88920,6840,13680,68400,2010,0,14,88920,0,51-60,80k+
343,52,IL,500/1000,1000,1053.02,0,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,7331 Sky Hwy,2,1,0,0,2,0,47630,12990,4330,30310,2005,1,19,47630,1,51-60,40k-60k
377,53,IL,100/300,500,1693.63,0,FEMALE,MD,craft-repair,kayaking,unmarried,0,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Hillsdale,5640 Embaracadero Lane,10,3,1,1,3,0,59040,6560,6560,45920,2015,0,9,59040,1,51-60,40k-60k
154,37,IL,250/500,1000,2047.59,0,FEMALE,MD,farming-fishing,dancing,other-relative,0,-67800,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,9610 Cherokee St,2,1,0,0,3,0,79530,14460,7230,57840,2000,0,24,79530,0,31-40,60k-80k
166,34,OH,100/300,1000,1083.72,0,FEMALE,High School,machine-op-inspct,base-jumping,wife,65600,-68200,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,3550 Washington Ave,18,1,0,0,2,1,53680,4880,4880,43920,2005,0,19,53680,1,31-40,40k-60k
298,46,OH,500/1000,1000,1138.42,6000000,MALE,JD,prof-specialty,dancing,own-child,36900,-55000,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Arlington,5277 Texas Lane,18,1,0,2,3,1,33550,3050,6100,24400,2005,0,19,33550,0,41-50,20k-40k
235,42,IN,250/500,500,1072.62,0,FEMALE,Masters,machine-op-inspct,exercise,husband,39900,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,3654 Cherokee Ave,7,4,0,2,1,1,69100,6910,6910,55280,2006,0,18,69100,1,41-50,60k-80k
172,35,IL,100/300,2000,1219.04,0,MALE,MD,handlers-cleaners,paintball,own-child,63600,-68700,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,Hillsdale,7380 5th Hwy,19,3,0,2,0,0,79750,14500,14500,50750,1999,0,25,79750,1,31-40,60k-80k
27,28,IN,100/300,2000,1371.78,0,MALE,JD,farming-fishing,polo,other-relative,0,-32500,Multi-vehicle Collision,Front Collision,Major Damage,Other,PA,Riverwood,2539 Embaracadero Ridge,10,3,0,0,2,1,53600,5360,10720,37520,2015,1,9,53600,1,18-30,40k-60k
428,54,IN,100/300,2000,1506.21,0,MALE,Masters,transport-moving,kayaking,unmarried,0,-24400,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Riverwood,4693 Lincoln Hwy,16,3,0,1,0,0,76560,12760,6380,57420,2009,0,15,76560,0,51-60,60k-80k
99,32,IN,100/300,1000,1058.21,3000000,MALE,JD,craft-repair,golf,unmarried,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,2376 Sky Ridge,17,1,1,1,1,0,41130,4570,4570,31990,1999,0,25,41130,1,31-40,40k-60k
107,26,IL,500/1000,2000,932.14,0,MALE,MD,sales,cross-fit,own-child,40600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,1273 Rock Lane,2,3,0,2,3,0,78650,14300,7150,57200,1996,1,28,78650,1,18-30,60k-80k
272,41,OH,500/1000,2000,1608.34,0,FEMALE,Associate,farming-fishing,reading,own-child,33300,-10600,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,8281 Lincoln Lane,19,1,0,1,1,0,71060,6460,12920,51680,2010,0,14,71060,1,41-50,60k-80k
151,37,IN,500/1000,1000,1728.56,0,FEMALE,Masters,farming-fishing,dancing,own-child,54000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,6429 4th Hwy,0,1,1,1,1,0,38830,3530,3530,31770,1999,0,25,38830,0,31-40,20k-40k
249,43,IL,250/500,1000,1518.46,0,FEMALE,MD,armed-forces,cross-fit,own-child,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,2201 4th Lane,16,1,0,0,0,1,53500,5350,5350,42800,2015,0,9,53500,1,41-50,40k-60k
177,38,IL,100/300,2000,1540.19,0,FEMALE,College,adm-clerical,skydiving,other-relative,0,-74500,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,5506 Best St,20,1,1,2,0,0,73700,7370,7370,58960,2001,1,23,73700,1,31-40,60k-80k
190,40,OH,500/1000,2000,965.21,0,FEMALE,JD,exec-managerial,camping,other-relative,36900,-53700,Parked Car,?,Trivial Damage,Unknown,SC,Hillsdale,8404 Embaracadero St,10,1,0,2,1,1,6300,630,630,5040,2001,0,23,6300,0,31-40,0-20k
174,36,IL,100/300,2000,1278.75,0,FEMALE,College,tech-support,paintball,own-child,53200,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,2117 Lincoln Hwy,21,3,0,2,2,0,65400,10900,10900,43600,2012,0,12,65400,1,31-40,60k-80k
95,28,OH,250/500,1000,773.99,0,MALE,Associate,armed-forces,board-games,other-relative,0,-70300,Vehicle Theft,?,Trivial Damage,Unknown,PA,Springfield,6359 MLK Ridge,3,1,1,1,2,0,3200,640,320,2240,2014,0,10,3200,0,18-30,0-20k
371,51,IN,500/1000,1000,1532.47,0,FEMALE,Associate,tech-support,golf,other-relative,60300,-24700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Arlington,9751 Sky Ridge,7,1,1,0,3,1,75400,7540,15080,52780,2012,1,12,75400,1,51-60,60k-80k
2,28,IL,250/500,1000,1340.56,0,FEMALE,JD,machine-op-inspct,golf,not-in-family,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Northbend,9020 Elm Ave,19,1,1,0,2,1,58140,6460,6460,45220,2008,0,16,58140,0,18-30,40k-60k
269,44,OH,100/300,500,1297.75,4000000,FEMALE,JD,other-service,chess,own-child,0,-41400,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Columbus,1830 Sky St,15,3,0,0,1,0,98670,15180,15180,68310,2010,1,14,98670,1,41-50,80k+
101,27,IL,250/500,1000,433.33,0,MALE,Masters,machine-op-inspct,golf,other-relative,25900,0,Parked Car,?,Minor Damage,Unknown,SC,Hillsdale,6067 Weaver Ridge,7,1,0,0,3,0,5900,1180,590,4130,2009,0,15,5900,0,18-30,0-20k
94,30,IN,250/500,2000,1025.54,0,FEMALE,High School,armed-forces,paintball,other-relative,0,-52600,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,1840 Embaracadero Ave,19,1,0,1,3,1,64100,6410,6410,51280,2001,0,23,64100,1,18-30,60k-80k
117,28,OH,250/500,500,1264.77,0,FEMALE,Associate,transport-moving,yachting,unmarried,47500,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,4058 Tree Drive,13,2,1,0,1,0,55440,5040,10080,40320,2009,1,15,55440,1,18-30,40k-60k
111,27,OH,250/500,500,1459.97,5000000,MALE,MD,sales,yachting,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,4983 MLK Ridge,2,3,0,1,2,0,80850,7350,14700,58800,2011,1,13,80850,1,18-30,80k+
242,40,OH,100/300,500,1238.65,0,FEMALE,High School,transport-moving,bungie-jumping,husband,0,-44600,Vehicle Theft,?,Trivial Damage,Police,WV,Springfield,9744 Texas Drive,5,1,1,1,1,0,7480,680,680,6120,1998,0,26,7480,0,31-40,0-20k
440,61,OH,250/500,500,1050.76,0,MALE,PhD,transport-moving,movies,wife,41500,-70200,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverwood,8821 Elm St,21,1,0,2,3,0,53640,5960,5960,41720,2004,1,20,53640,1,61-70,40k-60k
20,23,OH,500/1000,1000,1711.72,0,FEMALE,JD,tech-support,base-jumping,wife,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,2886 Tree Ridge,21,3,0,2,2,0,63250,5750,11500,46000,2002,1,22,63250,1,18-30,60k-80k
461,57,IL,100/300,500,865.33,7000000,FEMALE,High School,farming-fishing,golf,own-child,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,5236 Weaver Drive,7,3,0,0,1,0,59040,9840,9840,39360,1995,0,29,59040,1,51-60,40k-60k
208,36,IL,250/500,500,1153.49,0,MALE,Associate,craft-repair,base-jumping,other-relative,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,5862 Apache Ridge,16,3,1,1,0,1,50500,10100,5050,35350,2004,0,20,50500,1,31-40,40k-60k
279,43,OH,500/1000,2000,1281.25,0,MALE,Associate,machine-op-inspct,cross-fit,other-relative,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,7859 4th Ridge,13,1,1,0,1,0,57690,6410,12820,38460,2010,1,14,57690,1,41-50,40k-60k
244,40,IL,100/300,500,1342.8,0,FEMALE,MD,sales,base-jumping,husband,0,0,Vehicle Theft,?,Trivial Damage,Police,NY,Springfield,6259 Weaver St,2,1,1,1,3,1,5940,660,660,4620,2014,0,10,5940,0,31-40,0-20k
134,30,OH,250/500,2000,1443.32,0,FEMALE,PhD,exec-managerial,dancing,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,9980 Lincoln Ave,19,3,0,0,2,1,47790,5310,5310,37170,1995,1,29,47790,1,18-30,40k-60k
122,29,OH,250/500,1000,1629.94,0,FEMALE,Masters,priv-house-serv,skydiving,other-relative,0,-47100,Parked Car,?,Trivial Damage,Unknown,SC,Riverwood,7828 Cherokee Ave,17,1,0,0,1,0,3850,350,350,3150,2014,0,10,3850,0,18-30,0-20k
156,31,IL,100/300,2000,1134.08,0,MALE,PhD,other-service,reading,husband,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,5812 Oak St,3,1,0,2,0,0,59000,5900,5900,47200,2013,1,11,59000,1,31-40,40k-60k
232,43,OH,250/500,500,1483.91,8000000,MALE,College,machine-op-inspct,golf,husband,0,-33600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,2318 Washington Hwy,17,3,0,0,1,0,70600,7060,14120,49420,2013,1,11,70600,1,41-50,60k-80k
244,40,IN,500/1000,2000,1304.67,7000000,MALE,Masters,armed-forces,base-jumping,other-relative,0,-45000,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,8809 Flute St,5,3,0,1,1,0,61490,5590,11180,44720,2001,0,23,61490,0,31-40,60k-80k
84,30,IL,500/1000,2000,1035.79,0,FEMALE,MD,protective-serv,kayaking,wife,44400,-51500,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,3184 Oak Ave,9,1,0,1,0,1,57640,5240,10480,41920,2010,0,14,57640,0,18-30,40k-60k
394,57,IL,250/500,500,1401.2,0,FEMALE,High School,craft-repair,movies,own-child,51500,0,Vehicle Theft,?,Trivial Damage,Police,NC,Hillsdale,6493 Lincoln Lane,9,1,0,1,0,0,6890,1060,1060,4770,1999,0,25,6890,0,51-60,0-20k
246,45,IL,250/500,1000,1665.45,0,MALE,JD,machine-op-inspct,hiking,wife,34400,-33100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,7162 Maple Ave,9,3,0,2,2,0,53280,11840,5920,35520,2006,1,18,53280,1,41-50,40k-60k
35,29,IN,500/1000,2000,653.66,0,FEMALE,JD,handlers-cleaners,video-games,unmarried,52100,-46900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,5455 Tree Ridge,22,3,0,0,0,0,78300,15660,7830,54810,2009,0,15,78300,0,18-30,60k-80k
156,37,OH,100/300,500,1080.13,0,MALE,Associate,protective-serv,reading,other-relative,0,-61000,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,5778 Pine Ridge,15,3,1,0,3,0,41490,4610,4610,32270,2001,0,23,41490,1,31-40,40k-60k
195,36,IN,100/300,2000,1346.18,0,FEMALE,Associate,machine-op-inspct,camping,wife,57800,-53300,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,3797 Solo Lane,14,3,1,2,3,1,68970,12540,6270,50160,2007,0,17,68970,1,31-40,60k-80k
369,55,OH,250/500,2000,1589.54,0,MALE,College,handlers-cleaners,camping,husband,55400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,9373 Pine Hwy,6,3,0,2,0,1,85300,17060,8530,59710,2003,0,21,85300,0,51-60,80k+
271,40,IL,100/300,1000,1251.65,0,FEMALE,Associate,other-service,camping,wife,71200,0,Parked Car,?,Minor Damage,Unknown,NY,Hillsdale,1365 Francis Ave,6,1,0,0,0,0,3080,560,280,2240,2012,0,12,3080,0,31-40,0-20k
332,47,IL,100/300,2000,1083.01,0,MALE,MD,craft-repair,paintball,other-relative,91900,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,9239 Washington Ridge,22,4,1,2,0,0,71760,11040,11040,49680,2010,1,14,71760,1,41-50,60k-80k
107,26,OH,100/300,500,974.59,0,FEMALE,JD,armed-forces,skydiving,wife,62800,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,3416 Washington Drive,14,3,0,1,0,0,59700,11940,11940,35820,2002,0,22,59700,0,18-30,40k-60k
217,39,IL,500/1000,2000,1399.85,0,FEMALE,Masters,other-service,skydiving,other-relative,49900,-19800,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,1923 2nd Hwy,16,3,0,0,2,0,64920,10820,10820,43280,1997,0,27,64920,0,31-40,60k-80k
243,43,IN,500/1000,500,1307.74,0,FEMALE,Associate,machine-op-inspct,board-games,own-child,0,-75700,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,6451 1st Hwy,10,3,0,0,1,0,37530,4170,4170,29190,2008,0,16,37530,1,41-50,20k-40k
296,42,IN,250/500,2000,1219.27,0,MALE,Associate,tech-support,paintball,husband,53100,-63400,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,1267 Francis Hwy,9,3,1,1,2,0,64080,7120,7120,49840,2012,0,12,64080,1,41-50,60k-80k
264,41,OH,100/300,500,1411.3,0,MALE,PhD,prof-specialty,cross-fit,unmarried,55600,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,4158 Washington Lane,4,1,0,1,0,0,60390,10980,5490,43920,2004,1,20,60390,0,41-50,60k-80k
108,33,IL,100/300,2000,694.45,0,FEMALE,JD,armed-forces,exercise,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,3796 Cherokee Drive,6,3,0,0,1,1,64350,5850,11700,46800,2011,1,13,64350,1,31-40,60k-80k
32,38,IL,100/300,500,1006.77,6000000,FEMALE,College,other-service,sleeping,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,7434 Oak Hwy,15,3,1,2,1,1,70900,14180,7090,49630,1997,0,27,70900,0,31-40,60k-80k
259,39,OH,250/500,1000,1422.36,0,FEMALE,JD,craft-repair,movies,unmarried,0,-83900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,5178 Weaver Hwy,12,3,0,1,3,0,46560,7760,7760,31040,2012,0,12,46560,0,31-40,40k-60k
186,33,IN,100/300,1000,1348.32,0,FEMALE,Associate,craft-repair,cross-fit,wife,37600,-37600,Vehicle Theft,?,Trivial Damage,Police,NY,Arlington,8477 Francis Hwy,3,1,0,2,1,0,4730,860,860,3010,2013,1,11,4730,0,31-40,0-20k
201,40,OH,250/500,2000,1315.56,0,FEMALE,PhD,transport-moving,video-games,not-in-family,0,0,Vehicle Theft,?,Minor Damage,Police,SC,Northbrook,7693 Britain Lane,14,1,1,0,0,1,6820,1240,1240,4340,2003,0,21,6820,0,31-40,0-20k
436,58,OH,250/500,2000,1407.01,5000000,MALE,PhD,tech-support,sleeping,other-relative,47400,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,3658 Rock Drive,10,1,0,0,2,0,59900,11980,5990,41930,1997,1,27,59900,1,51-60,40k-60k
189,36,OH,250/500,2000,1388.58,0,FEMALE,MD,priv-house-serv,basketball,own-child,0,-49400,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,2617 Andromedia Drive,17,3,0,1,3,1,79560,13260,13260,53040,2009,0,15,79560,1,31-40,60k-80k
105,33,IL,500/1000,500,1310.76,0,FEMALE,High School,adm-clerical,kayaking,not-in-family,0,-40900,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,9279 Oak Hwy,8,1,1,0,1,0,70290,12780,6390,51120,2008,0,16,70290,1,31-40,60k-80k
163,31,IN,100/300,1000,1004.63,6000000,MALE,JD,priv-house-serv,hiking,not-in-family,26900,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,3439 Andromedia Hwy,14,3,1,2,0,0,63910,5810,11620,46480,1999,0,25,63910,1,31-40,60k-80k
219,40,OH,100/300,500,1134.91,0,FEMALE,Associate,transport-moving,golf,not-in-family,68700,0,Vehicle Theft,?,Trivial Damage,Unknown,SC,Riverwood,5901 Elm Drive,6,1,0,1,0,0,6400,640,640,5120,1997,0,27,6400,0,31-40,0-20k
88,25,IN,250/500,1000,1194.0,0,FEMALE,JD,handlers-cleaners,movies,husband,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,3982 Washington Hwy,6,1,1,1,2,1,66780,7420,7420,51940,2013,1,11,66780,1,18-30,60k-80k
40,39,IN,500/1000,1000,1248.25,4000000,FEMALE,College,sales,hiking,own-child,0,-33300,Parked Car,?,Minor Damage,Police,VA,Northbrook,3376 5th Drive,8,1,0,0,2,0,8760,1460,1460,5840,2013,0,11,8760,0,31-40,0-20k
284,42,OH,100/300,500,1338.54,-1000000,MALE,Associate,machine-op-inspct,kayaking,wife,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,3936 Tree Drive,13,1,1,0,1,0,94160,8560,17120,68480,1996,0,28,94160,1,41-50,80k+
59,40,IL,250/500,2000,782.23,0,MALE,College,protective-serv,golf,other-relative,64200,-32300,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,6605 Tree Ave,0,3,0,0,2,0,51570,5730,11460,34380,2010,0,14,51570,1,31-40,40k-60k
39,31,IL,250/500,2000,1366.9,0,FEMALE,High School,handlers-cleaners,polo,husband,0,-15700,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,3102 Apache St,14,3,0,1,0,0,52700,10540,10540,31620,2014,1,10,52700,1,31-40,40k-60k
147,34,IL,500/1000,1000,1275.81,0,MALE,High School,sales,dancing,wife,0,-48300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,7756 Pine Hwy,13,1,1,2,2,0,101010,15540,15540,69930,1998,0,26,101010,0,31-40,80k+
156,37,IN,250/500,500,1090.65,0,MALE,High School,exec-managerial,golf,unmarried,0,-51800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,7142 5th Lane,16,4,0,1,2,1,53400,5340,5340,42720,2010,1,14,53400,0,31-40,40k-60k
123,31,IN,250/500,500,1326.0,0,FEMALE,Associate,prof-specialty,basketball,wife,0,-54600,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,2914 Oak Drive,13,1,0,1,2,0,72120,12020,12020,48080,2009,0,15,72120,1,31-40,60k-80k
231,43,IL,250/500,2000,972.47,0,MALE,College,protective-serv,reading,wife,0,-58100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,6522 Apache Drive,15,3,1,2,2,1,77100,7710,15420,53970,2010,0,14,77100,0,41-50,60k-80k
247,39,IL,100/300,500,806.31,0,FEMALE,College,handlers-cleaners,dancing,wife,0,0,Parked Car,?,Trivial Damage,Police,SC,Northbend,5279 Pine Ridge,3,1,0,2,3,0,3300,600,0,2700,2003,0,21,3300,0,31-40,0-20k
194,35,IL,500/1000,500,1416.24,0,FEMALE,MD,adm-clerical,golf,not-in-family,0,0,Parked Car,?,Minor Damage,Unknown,WV,Northbend,8078 Britain Hwy,7,1,1,1,0,0,5940,1080,540,4320,2003,0,21,5940,0,31-40,0-20k
119,27,IN,250/500,2000,1097.64,0,MALE,High School,transport-moving,video-games,other-relative,27100,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,1133 Apache St,16,2,0,1,0,0,63720,7080,21240,35400,2006,0,18,63720,1,18-30,60k-80k
259,43,IL,100/300,500,947.75,0,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,0,-39300,Vehicle Theft,?,Trivial Damage,Police,SC,Riverwood,2873 Flute Ave,15,1,0,1,3,0,7680,1280,640,5760,2008,0,16,7680,0,41-50,0-20k
107,31,IL,100/300,2000,1018.73,5000000,MALE,Associate,handlers-cleaners,yachting,own-child,20000,-82700,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,8509 Apache St,21,3,1,1,2,0,93730,14420,21630,57680,2001,0,23,93730,1,31-40,80k+
48,44,IL,100/300,2000,1400.74,0,MALE,College,sales,base-jumping,other-relative,34000,-55600,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,8245 4th Hwy,23,3,1,0,2,0,87300,17460,17460,52380,2013,0,11,87300,1,41-50,80k+
267,40,IL,250/500,500,1155.53,5000000,MALE,JD,transport-moving,camping,wife,0,-35200,Parked Car,?,Trivial Damage,Police,NY,Columbus,3094 Best Lane,5,1,0,0,2,0,5670,1260,630,3780,1997,0,27,5670,0,31-40,0-20k
286,47,IN,250/500,500,1386.93,0,MALE,High School,priv-house-serv,bungie-jumping,husband,54100,-77600,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,8188 Tree Ave,15,3,1,0,0,0,65800,13160,6580,46060,2001,0,23,65800,0,41-50,60k-80k
175,34,OH,100/300,500,915.29,0,FEMALE,JD,handlers-cleaners,base-jumping,wife,82400,-57100,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,5224 5th Lane,14,1,0,2,1,1,36720,4080,4080,28560,2009,1,15,36720,1,31-40,20k-40k
111,29,IL,250/500,500,1239.55,2000000,FEMALE,PhD,farming-fishing,kayaking,own-child,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Riverwood,2230 1st St,1,1,0,1,1,1,52800,4800,9600,38400,1996,1,28,52800,1,18-30,40k-60k
151,37,IN,250/500,500,1366.42,0,FEMALE,Associate,protective-serv,cross-fit,unmarried,44000,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,6719 Flute St,14,3,0,1,2,1,59100,5910,5910,47280,1998,1,26,59100,1,31-40,40k-60k
156,37,OH,500/1000,1000,1086.48,6000000,MALE,Associate,machine-op-inspct,hiking,unmarried,0,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbrook,8064 4th Ave,17,3,0,1,1,1,77440,14080,7040,56320,1999,0,25,77440,1,31-40,60k-80k
165,36,IL,250/500,2000,1247.87,0,MALE,Masters,armed-forces,golf,husband,0,-39700,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbend,2469 Francis Lane,20,3,0,2,2,0,45700,4570,4570,36560,2008,0,16,45700,1,31-40,40k-60k
253,41,OH,100/300,2000,1312.75,0,FEMALE,PhD,sales,dancing,other-relative,81300,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,4671 5th Ridge,10,3,0,2,2,1,80740,7340,14680,58720,2014,1,10,80740,1,41-50,80k+
10,26,IN,100/300,2000,765.64,0,MALE,MD,sales,base-jumping,not-in-family,0,-22200,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Northbrook,6985 Maple Lane,3,3,0,0,3,0,31350,2850,5700,22800,2001,1,23,31350,1,18-30,20k-40k
158,33,OH,100/300,2000,1327.41,0,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,0,-38600,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Hillsdale,7791 Britain Ridge,0,1,0,0,0,0,35000,3500,7000,24500,2012,0,12,35000,1,31-40,20k-40k
436,59,OH,500/1000,1000,1338.55,0,MALE,PhD,protective-serv,board-games,own-child,39000,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Hillsdale,6355 4th Hwy,10,3,0,2,2,0,68000,13600,6800,47600,2014,0,10,68000,1,51-60,60k-80k
91,30,IL,250/500,2000,1316.63,8000000,FEMALE,Masters,machine-op-inspct,golf,unmarried,43900,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3495 Britain Drive,13,3,1,2,0,0,84500,13000,13000,58500,2009,0,15,84500,0,18-30,80k+
256,42,IL,500/1000,1000,1286.44,0,FEMALE,MD,transport-moving,bungie-jumping,wife,0,-39500,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Northbend,2980 Sky Ridge,14,1,0,2,1,0,75500,7550,15100,52850,1998,0,26,75500,0,41-50,60k-80k
274,46,OH,500/1000,1000,1372.18,0,MALE,High School,exec-managerial,bungie-jumping,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Riverwood,5914 Oak Ave,22,3,0,1,3,0,90600,15100,15100,60400,2009,0,15,90600,1,41-50,80k+
275,45,IN,500/1000,2000,1447.77,0,FEMALE,Associate,adm-clerical,camping,wife,39400,-63900,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Northbend,3835 5th Ave,8,3,1,1,1,0,64320,5360,10720,48240,1998,0,26,64320,1,41-50,60k-80k
1,33,IL,250/500,500,903.32,0,FEMALE,High School,transport-moving,yachting,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,5925 Tree Hwy,1,3,0,1,0,0,31700,6340,3170,22190,2006,0,18,31700,0,31-40,20k-40k
85,30,IN,500/1000,1000,1454.42,0,MALE,Associate,protective-serv,reading,other-relative,51600,-73900,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,6250 1st Ridge,19,1,1,0,1,1,74280,12380,12380,49520,2006,1,18,74280,1,18-30,60k-80k
233,37,IL,100/300,2000,1603.42,0,FEMALE,High School,sales,video-games,wife,61600,-30200,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,1346 5th Lane,17,1,1,0,2,1,80520,13420,6710,60390,2005,0,19,80520,1,31-40,80k+
